"Project ID";"8"
"Project";"AI Hub"
"Run ID";"87"
"Run";"25.38.0-aihub UAT"
"Exported at";"2025-09-18T07:28:40.484Z"
"Closed";"No"
"Created at";"2025-09-16T01:16:19.688Z"
"Created by";"Cody Boggs"
"Forecast";"16287.496"
"Milestone";"release-25.38.0-aihub"
"Started";"Yes"
"Started at";"2025-09-16T07:36:49.251Z"
"State";"In progress"
"Untested";"391";"100%"
"Passed";"0";"0%"
"Failed";"0";"0%"
"Retest";"0";"0%"
"Blocked";"0";"0%"
"Skipped";"0";"0%"

"Case ID";"Test ID";"Test";"Result ID";"Assigned to";"Automation";"Comment";"Created at";"Created by";"Deleted";"Deleted at";"Deleted by";"Description";"Elapsed";"Estimate";"Expected";"Folder";"Forecast";"Issues";"Issues (case)";"Priority";"State";"Status";"Steps (Expected)";"Steps (Note)";"Steps (Status)";"Steps (Step)";"Tags";"Template";"Updated at";"Updated by"
"3185";"56672";"Ask Table extraction query";"";"";"No";"";"";"";"";"";"";"<p>For the <a href=""https://aihub-sandbox.internal.instabase.com/instabase-sandbox-org/model-dev/fs/Annotation%20Group%20Prod%20Drive/datasets/aihub_benchmarks/tabular_data_framework/UAT_docs/AAIBL%20Total%20Communication_1.pdf""><u>AAIBL Total Communication_1.pdf</u></a><u>,</u> ask the following query:</p><ul><li>Extract the transactions table</li></ul><p>For <a href=""https://aihub-sandbox.internal.instabase.com/instabase-sandbox-org/model-dev/fs/Annotation%20Group%20Prod%20Drive/datasets/aihub_benchmarks/tabular_data_framework/UAT_docs/multi_row_header.xlsx""><u>multi_row_header.xlsx</u></a> excel file: ask the following query:</p><ul><li>Extract the table on Sheet1</li></ul><p>Similarly, ask query for <a href=""https://aihub-sandbox.internal.instabase.com/instabase-sandbox-org/model-dev/fs/Annotation%20Group%20Prod%20Drive/datasets/aihub_benchmarks/tabular_data_framework/UAT_docs/ds_salaries.csv""><u>ds_salaries.csv</u></a> also.</p><ul><li>Extract all the Data Scientist Salaries.</li></ul><p>For other docs in the TDF_test_folder, try to extract the table.</p>";"";"";"<figure class=""image""><img src=""/attachments/view/466"" alt=""466"" /></figure>";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3189";"56676";"FR Provenance for Documents without Tables and Multi Columns";"";"";"No";"";"";"";"";"";"";"<p>Test Provenance for FR documents without tables, multi columns. Can include checkboxes.</p><p>For example:</p><ul><li>Upload and digitise this document in Converse with FR enabled:<br /><a href=""https://drive.google.com/file/d/13QLhqdqtlzdRCGWMZjSVeO_fADH0vBgb/view?usp=drive_link"">https://drive.google.com/file/d/13QLhqdqtlzdRCGWMZjSVeO_fADH0vBgb/view?usp=drive_link</a></li><li>Ask any queries(eg, <strong>What is the title of the document?</strong> or What is <strong>step number 7?)</strong></li><li>Confirm the provenance returned is appropriate.</li></ul>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3191";"56677";"FR Provenance for Documents with tables";"";"";"No";"";"";"";"";"";"";"<p>Test Provenance for FR documents without multi columns. Can include checkboxes, tables.</p><p>For example:</p><ul><li>Upload and digitise this document in Converse with FR enabled:<br />https://drive.google.com/file/d/1MPacCOH4dONF3LcVeq8ZMkbV7mDaVXLf/view?usp=drive_link</li><li>Ask any queries</li><li>Confirm the provenance returned is appropriate.</li></ul>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3219";"56690";"FR Provenance for documents with MultiCols and Tables";"";"";"No";"";"";"";"";"";"";"<p>Test Provenance for FR documents without multi columns. Can include checkboxes, tables.</p><p>For example:</p><ul><li>Upload and digitise this document in Converse with FR enabled:<br />https://drive.google.com/file/d/1MPacCOH4dONF3LcVeq8ZMkbV7mDaVXLf/view?usp=drive_link</li><li>Ask any queries</li><li>Confirm the provenance returned is appropriate.</li></ul>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3220";"56691";"FR Provenance in Build";"";"";"No";"";"";"";"";"";"";"";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3224";"56695";"Provenance in Converse for TDF";"";"";"No";"";"";"";"";"";"";"<p>Upload a doc in converse and ask to extract a table. </p><p>Test this for each of the input document.</p><ol><li>PDF file</li><li>CSV file</li><li>Excel file</li></ol><p>Check if provenance is displayed.</p><p>Input docs are here:</p><p><a href=""https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2?usp=drive_link"">https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2?usp=drive_link</a></p>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3231";"56700";"Provenance in Build for TDF";"";"";"No";"";"";"";"";"";"";"<p>Upload a doc in build and ask to extract a table. </p><p>Test this for each of the input document.</p><ol><li>PDF file</li><li>CSV file</li><li>Excel file</li></ol><p>Check if provenance is displayed.</p><p>Input docs are here:</p><p><a href=""https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2?usp=drive_link"">https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2?usp=drive_link</a></p>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3232";"56701";"All Tables Extraction in Converse";"";"";"No";"";"";"";"";"";"";"<ul><li>create a new project in converse</li><li>enable object detection</li><li>Add a document </li><li>Enter ""Extract all tables and return in markdown format""</li><li>Enter ""Extract all tables and return in json format""</li></ul>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3233";"56702";"All Tables Extraction in Build";"";"";"No";"";"";"";"";"";"";"<ul><li>create a new project in build</li><li>enable object detection</li><li>Add a document </li><li>Enter the following prompts one by one in Reasoning<ul><li>Enter ""Extract all tables and return in markdown format""</li><li>Enter ""Extract all tables and return in json format""</li></ul></li></ul>";"";"";"";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3421";"56767";"Multi-doc TDF for Converse";"";"";"No";"";"";"";"";"";"";"<ul><li>Add Amazon 10k for 2021 and 2022 in Converse</li><li>Ask question: ""Extract the table of facilities operated by Amazon in 2021 and 2022 in a single table.""</li></ul>";"";"";"<p>The resulting table should have the followiing data, may not be exactly the same table structure.</p><figure class=""table""><table><thead><tr><th>Description of Use</th><th>Leased Square Footage (1)</th><th>Owned Square Footage</th><th>Location</th><th>Year</th></tr></thead><tbody><tr><td>Office space</td><td>27,519</td><td>6,138</td><td>North America</td><td>2021</td></tr><tr><td>Office space</td><td>20,983</td><td>1,802</td><td>International</td><td>2021</td></tr><tr><td>Physical stores (2)</td><td>22,396</td><td>662</td><td>North America</td><td>2021</td></tr><tr><td>Physical stores (2)</td><td>235</td><td> </td><td>International</td><td>2021</td></tr><tr><td>Fulfillment, data centers, and other</td><td>370,392</td><td>16,663</td><td>North America</td><td>2021</td></tr><tr><td>Fulfillment, data centers, and other</td><td>129,035</td><td>9,601</td><td>International</td><td>2021</td></tr><tr><td>Total</td><td>570,560</td><td>34,866</td><td> </td><td>2021</td></tr><tr><td>Office space</td><td>30,611</td><td>6,792</td><td>North America</td><td>2022</td></tr><tr><td>Office space</td><td>23,956</td><td>1,802</td><td>International</td><td>2022</td></tr><tr><td>Physical stores (2)</td><td>22,881</td><td>662</td><td>North America</td><td>2022</td></tr><tr><td>Physical stores (2)</td><td>291</td><td> </td><td>International</td><td>2022</td></tr><tr><td>Fulfillment, data centers, and other</td><td>391,598</td><td>22,058</td><td>North America</td><td>2022</td></tr><tr><td>Fulfillment, data centers, and other</td><td>148,146</td><td>12,613</td><td>International</td><td>2022</td></tr><tr><td>Total</td><td>617,483</td><td>43,927</td><td> </td><td>2022</td></tr></tbody></table></figure>";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3422";"56768";"Filtering for TDF in Converse";"";"";"No";"";"";"";"";"";"";"<ul><li>Create a new project in Converse </li><li>Enable ""Object Detection""</li><li>Add BankStatementChequing.png from <a href=""https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2"">https://drive.google.com/drive/folders/1U5kpiYXMMbWvcqCSe3HVtveRZ4jSGly2</a></li><li>Ask: <ol><li>""Get me all the transactions from the table where more than $100 are withdrawn.""</li><li>""Extract all details for the Payroll Deposit from the transactions table.""</li></ol></li></ul>";"";"";"<p>Ans 1:</p><figure class=""table""><table><thead><tr><th>Date</th><th>Description</th><th>Ref.</th><th>Withdrawals</th><th>Deposits</th><th>Balance</th></tr></thead><tbody><tr><td>2003-10-14</td><td>Web Bill Payment - MASTERCARD</td><td>9685</td><td>200.00</td><td> </td><td>495.36</td></tr><tr><td>2003-10-21</td><td>Web Bill Payment - AMEX</td><td>3314</td><td>300.00</td><td> </td><td>169.62</td></tr><tr><td>2003-11-06</td><td>Mortgage Payment</td><td> </td><td>710.49</td><td> </td><td>-62.47</td></tr><tr><td> </td><td>*** Totals ***</td><td> </td><td>1,515.63</td><td>1,442.61</td><td> </td></tr></tbody></table></figure><p> </p><p>Ans 2:</p><p>| Date       | Description              | Ref. | Withdrawals | Deposits | Balance |<br />|------------|--------------------------|------|-------------|----------|---------|<br />| 2003-10-14 | Payroll Deposit - HOTEL |      |             | 694.81   | 695.36  |<br />| 2003-10-28 | Payroll Deposit - HOTEL |      |             | 694.81   | 731.57  |</p>";"TDF";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2832";"56577";"Test model responses for short files";"";"";"No";"";"";"";"";"";"";"<ul><li>upload a file from here <a href=""https://drive.google.com/drive/folders/1iSNBEW3uRSAFR717NyebJfjhOKi4mEXu"">https://drive.google.com/drive/folders/1iSNBEW3uRSAFR717NyebJfjhOKi4mEXu</a></li><li>test adding a few basic fields</li><li>test if the model output is correct for the majority of fields</li><li>test if the provenance is correct for the majority of fields</li><li>add a complex prompt/field</li><li>test if the model output is correct for complex field</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2833";"56578";"Test model responses for long document";"";"";"No";"";"";"";"";"";"";"<ul><li>upload a file from here https://drive.google.com/drive/folders/1qOV7xISbsEzHGMHiMr3SI5JNUs9pP36J</li><li>test adding a few basic fields<ul><li>have one reasoning, one normal extraction, and add all different data types</li></ul></li><li>test if the model output is correct for the majority of fields</li><li>test if the provenance is correct for the majority of fields<br /><br />Create an app and run the same document through it and ensure results are same.</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2991";"56594";"Logged in user can filter";"";"";"No";"";"";"";"";"";"";"<p>Cypress (partial):<br />aihub-doc-management-grid.spec.js<br />aihub-doc-management-single-doc.spec.js<br />aihub-doc-management-table.spec.js<br /><br />You'll need to manually test the cases not covered in the above Cypress suites.</p>";"";"";"<figure class=""table""><table><tbody><tr><td>If no classes exist, shouldn't be able to filter by classes</td></tr><tr><td>Filter by class</td></tr><tr><td>Filter by date added</td></tr><tr><td>Filter by file type</td></tr><tr><td>Selecting multiple filters takes the union of all filters</td></tr><tr><td>Filters are preserved across 3 doc management modes</td></tr></tbody></table></figure>";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3019";"56602";"User can group by";"";"";"No";"";"";"";"";"";"";"<p>Cypress (partial):<br />aihub-doc-management-grid.spec.js<br />aihub-doc-management-single-doc.spec.js<br />aihub-doc-management-table.spec.js<br /><br />You'll need to manually test the cases not covered in the above Cypress suites.</p>";"";"";"<figure class=""table""><table><tbody><tr><td>If no classes exist, shouldn't be able to group by class</td></tr><tr><td>Group by class</td></tr><tr><td>Group by date added</td></tr><tr><td>Group by file type</td></tr><tr><td>Group by is preserved across 3 doc management modes</td></tr><tr><td>Group by does not show DEFAULT_CLASS_NAME</td></tr><tr><td>Group by does not update until classification runs</td></tr></tbody></table></figure>";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"2834";"56579";"Add a new document to the existing project";"";"";"No";"";"";"";"";"";"";"<ul><li>add a new document of the same class to the existing project</li><li>check if the fields are populated</li><li>check if the majority of model predictions is correct</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3018";"56601";"User can sort documents";"";"";"No";"";"";"";"";"";"";"<p>Cypress (partial):<br />aihub-doc-management-grid.spec.js<br />aihub-doc-management-single-doc.spec.js<br />aihub-doc-management-table.spec.js<br /><br />You'll need to manually test the cases not covered in the above Cypress suites.</p>";"";"";"<figure class=""table""><table><tbody><tr><td>If no classes exist, shouldn't be able to sorty by classes</td></tr><tr><td>Default sort is date added </td></tr><tr><td>sort by class (both directions)</td></tr><tr><td>sort by date added (both directions)</td></tr><tr><td>sort by file type (both directions)</td></tr><tr><td>sort by document name (both directions)</td></tr><tr><td>sort is preserved across 3 doc management modes</td></tr></tbody></table></figure>";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3020";"56603";"User can search for documents";"";"";"No";"";"";"";"";"";"";"<p>aihub-doc-management-grid.spec.js<br />aihub-doc-management-single-doc.spec.js<br /> </p>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3021";"56604";"document selection operations";"";"";"No";"";"";"";"";"";"";"";"";"";"<figure class=""table""><table><tbody><tr><td>User can hover over document in any view to edit/delete</td></tr><tr><td>User can right click on any document in any view to edit/delete</td></tr><tr><td>user can shift/click to select a range of documents</td></tr><tr><td>user can cmd/click to select multiple specific documents</td></tr><tr><td>User can right click with multiple documents selected to delete selected docs</td></tr><tr><td>Rename document works</td></tr><tr><td>Delete document(s) works</td></tr><tr><td>When modifying class(es), user can select document of other class</td></tr><tr><td>When modifying only field(s), user cannot select document of other class</td></tr></tbody></table></figure>";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3022";"56605";"User uploads files";"";"";"No";"";"";"";"";"";"";"";"";"";"<figure class=""table""><table><tbody><tr><td>files should get added with popup showing</td></tr><tr><td>if no classes exist documents shouldn't be classified</td></tr><tr><td>if classes exist, documents should get classified</td></tr><tr><td>user can add more documents by drag and drop or by click ""Add documents"" button</td></tr></tbody></table></figure>";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3098";"56624";"User can split classify documents";"";"";"Yes";"";"";"";"";"";"";"<p>aihub-split-classification.spec.ts</p>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3099";"56625";"Two users can collaborate in the same project on a shared workspace";"";"";"No";"";"";"";"";"";"";"<p>As the editing user:</p><ul><li>Able to acquire a lock in a shared project.</li><li>Able to continue to edit the project while the lock is acquired.</li><li>Able to switch to a different project, which dismisses the ""Edit"" banner.</li></ul><p>As the read-only user:</p><ul><li>Visit a shared project with someone else editing. Observe that the read-only banner is rendered.</li><li>Attempts to modify the project results in a error toast ""Project is in read-only mode"". These actions should be tested.<ul><li>Create field</li><li>Create class</li><li>Edit field</li><li>Delete field</li><li>Delete class</li><li>Add file</li><li>Edit document</li><li>Delete document</li><li>Edit project name</li><li>Delete project</li><li>Save project settings</li></ul></li><li>Able to switch to a different project, which dismisses the ""Read only"" banner.</li></ul><p>Edge cases:</p><ul><li>Going to a non-shared workspace and editing the project. No banner is shown.</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3151";"56658";"User can use result tables to see results across documents";"";"";"Yes";"";"";"";"";"";"";"<p>Cypress: aihub-results-table.spec.ts</p><ol><li><s>Test field result table to view  results/model confidence across docs for a field.</s></li><li><s>Test validation result table to view  results across docs for a validation rule.</s></li><li><s>Test validation result table to view results across docs for all validation rules.</s></li><li><s>Test field result table to view  results/model confidence across docs for all fields.</s></li><li><s>Test editing udfs with result table. Should be able to open logs. Should show all reference fields and final result.</s></li><li><s>With many columns the results table scrolls.</s></li></ol>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3163";"56662";"Commerical user is shown a Modal when the default drive is changed";"";"";"No";"";"";"";"";"";"";"<ul><li>Create a build project.<ul><li>Observe no Change Drive modal appears.</li></ul></li><li>Change the default drive for the organization</li><li>Open the same build project.<ul><li>Observe a Change Drive modal appears.</li></ul></li><li>Choose ""Move Project""<ul><li>Observe the operation completes successfully.</li></ul></li><li>Keep the project open in a separate tab.</li><li>Change the default drive for the workspace back to the original drive.</li><li>In that separate tab, wait 20 minutes for a poll to occur.<ul><li>Observe a Change Drive modal appears.</li></ul></li><li>Choose ""Delete project""<ul><li>Observe the project is deleted successfully.</li></ul></li><li>Change the default drive of the org back to the original.</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3186";"56673";"Enable multi-page tables in project settings";"";"";"No";"";"";"";"";"";"";"<ul><li>Upload documents with tables (example <a href=""https://dogfood.instabase.com/docinsights/ml-studio/fs/Instabase%20Drive/samples/Vanguard%20Prospectus/small/"">docs</a> from dogfood.instabase.com, example <a href=""https://aihub-sandbox.internal.instabase.com/instabase-sandbox-org/model-dev/fs/Doc%20Insights%20ML%20Studio%20Drive/samples/Vanguard%20Prospectus/small/"">docs</a> for aihub-sandbox)</li><li>Enable multi-page tables in project settings<ul><li>This should show a warning that docs will be redigitized</li></ul></li><li>Click save -&gt; this should redigitize all the docs</li><li>Create a field with Reasoning. Write ""Extract all tables""</li><li>This should return all the tables in the doc</li></ul><p><a href=""https://aihub-uat.internal.instabase.com/build/019615a3-c237-7193-baed-7192c64b7c49"">https://aihub-uat.internal.instabase.com/build/019615a3-c237-7193-baed-7192c64b7c49</a></p>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3206";"56685";"Redigitization in build";"";"";"No";"";"";"";"";"";"";"<ul><li>have an existing project with documents<ul><li><a href=""https://aihub-uat.internal.instabase.com/build/0192e418-a9f2-7048-911d-3d538430e492"">https://aihub-uat.internal.instabase.com/build/0192e418-a9f2-7048-911d-3d538430e492</a></li></ul></li><li>toggle redigitization<ul><li>toggle redigitization with no documents too (should not 500)</li></ul></li><li>test redigitization for short docs<ul><li>make sure  classification works</li><li>make sure extraction works in reasoning mode</li><li>make sure extraction works in extraction mode</li></ul></li><li>test redigitization for long docs<ul><li>make sure  classification works</li><li>make sure extraction works in reasoning mode</li><li>make sure extraction works in extraction mode</li></ul></li><li>test redigitization w/ change in classification<ul><li>redigitizing + split classification enabled should redigitize first and then trigger split classification <a href=""https://instabase.atlassian.net/browse/INSIGHTS-7261"">[INSIGHTS-7261]</a></li></ul></li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3223";"56694";"Loginless user can view public app and sample results";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/ViewApp/loginless-sample-results.spec.ts"">loginless-sample-results.spec.ts</a></p>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3395";"56752";"Table entities";"";"";"No";"";"";"";"";"";"";"<p>Test the following for both normal classification and split classification</p><ol><li>Create a new Build project</li><li>Enable ""Tables"" in digitization settings</li><li>Upload a document containing tables</li><li>Tables should be viewable, copyable, and downloadable</li></ol>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3433";"56777";"Commercial user can build project from templates";"";"";"Yes";"";"";"";"";"";"";"<p>aihub-templates.spec.ts </p><ol><li><s>can build a blank project</s></li><li><s>can select classes and when project is created schema is pre-populated</s></li><li><s>can copy an existing project. (all classes,fields,clean prompts/functions, and project settings should be copied).</s></li><li><s>can search for classes/projects</s></li></ol>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3511";"56832";"Advance OCR works for Build";"";"";"No";"";"";"";"";"";"";"<ul><li>Able to save OCR settings with an empty project</li><li>Able to digitize without previewing docs</li><li>Able to preview up to 3 docs</li><li>Able to preview other docs</li><li>Applying different digitization settings changes OCR output<ul><li>Use Google vs Microsoft OCR</li></ul></li><li>Able to apply digitization and reclassification in same save action</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3626";"56883";"User can copy Build project";"";"";"No";"";"";"";"";"";"";"<p>Where to start the copying operation</p><ul><li>Copy Build project from Build project settings page</li><li>Copy Build project from Workspace ""Create"" tab</li></ul><p>What to include in the copied project</p><ul><li>Try copying an empty project</li><li>Try copying a non-empty project</li></ul>";"";"";"";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3654";"56909";"Excel Provenance";"";"";"No";"";"";"";"";"";"";"<p>Upload an Excel file with table processing enabled. Add a table extraction field</p><p>The field results should also return excel provenance response and selecting the field should navigate and highlight the excel bounding box.</p><p>Example Excel file: https://docs.google.com/spreadsheets/d/1sikSJd89ietI479USo_WdcwOEAb7fyWw/edit?usp=drive_link&amp;ouid=112292975604042642711&amp;rtpof=true&amp;sd=true</p>";"";"";"<p>Note blue highlight on the sheet viewer. The blue highlight indicates the provenance of the table extraction field</p><figure class=""image""><img src=""/attachments/view/2105"" alt=""2105"" /></figure>";"Build";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3097";"56623";"User can run a quick clean refinement line";"";"";"Yes";"";"";"";"";"";"";"<p>Try non-configurable (proper case, uppercase, lowercase) and configurable (remove characters, format date) quick clean refinement lines</p><p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-quick-clean-refinement.spec.ts""><u>aihub-quick-clean-refinement.spec.ts</u></a></p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3110";"56632";"User can run a prompt refinement line";"";"";"Yes";"";"";"";"";"";"";"<p>This cypress test also covers: outdated values, deleting refinement line, run all button, save changes</p><p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-refinement.spec.js"">aihub-refinement.spec.js</a></p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3100";"56626";"User can create a udf refinement line";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-refinement-udf.spec.ts"">aihub-refinement-udf.spec.ts</a></p><p>Additional manual testing:</p><ol><li>Subsequent fields should not be available as arguments</li><li><s>Unsaved preceding fields should be available as arguments</s></li><li>Should not see previous_line in argument dropdown</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3145";"56655";"User can run a udf refinement line";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-refinement-udf.spec.ts"">aihub-refinement-udf.spec.ts</a></p><p>Additional manual cases:</p><ol><li>Reference previous_line, preceding fields, and context['document_text'] from the refinement udf</li><li>Switching to multi-document results view should run udf on all documents</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3178";"56670";"Run extraction works with ~dozens of documents and fields";"";"";"No";"";"";"";"";"";"";"<ol><li>create ~10 fields</li><li>in a random order, choose some of them to edit and add refinement lines to</li><li>switch between documents</li><li>results should be as expected</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Retired";"Untested";"";"";"";"";"";"Case (text)";"";""
"3207";"56686";"Extracted values of fields match their data types";"";"";"No";"";"";"";"";"";"";"<p>Create a project with a document that is comprehensive (has data to extract of all data types, including table, list of texts, list of objects).<br /><br />Create fields of all data types. Make sure that extracted value matches the result. <br /><br />Example document attached</p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3205";"56684";"User can set data type of field";"";"";"Yes";"";"";"";"";"";"";"<p><a href=""https://github.com/instabase/instabase/blob/master/webserver/shared/src/js/webpacked/apps/src/aihub/__e2e__/BuildApp/aihub-data-types.spec.ts"">aihub-data-types.spec.ts</a></p><ul><li>can't run all or send if table data type and object detection off</li></ul>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"cypress";"Case (text)";"";""
"3453";"56791";"Commercial user can choose between default and advanced model at field-level";"";"";"No";"";"";"";"";"";"";"<ol><li>Run a field with default model</li><li>Run a field with advanced model</li></ol><p>I find that the results are usually the same except for tables and lists, so you can use those to verify that the result changes with a different model.</p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3462";"56796";"User can classify documents using class descriptions";"";"";"No";"";"";"";"";"";"";"<ol><li>Upload the attached documents to a project</li><li>Create 2 classes - ""J"" and ""C""</li><li>Run classification</li><li>""Amy Williams"" should be classified as ""J"" or ""Other""</li><li>Add a class description to ""C"" - ex: ""Capital One Bank Statement""</li><li>Run classification</li><li>""Amy Williams"" should be classified as ""C""</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3521";"56837";"User can create and run custom function fields";"";"";"Yes";"";"";"";"";"";"";"";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3588";"56867";"User can create and run derived field";"";"";"Yes";"";"";"";"";"";"";"";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3589";"56868";"User can run extraction field after editing it";"";"";"No";"";"";"";"";"";"";"<p>regression test for https://instabase.atlassian.net/browse/INSIGHTS-6634</p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Retired";"Untested";"";"";"";"";"";"Case (text)";"";""
"3593";"56872";"Clean prompts work for nested data types";"";"";"No";"";"";"";"";"";"";"<ol><li>Create project with Table detection</li><li>Add longdoc with tabular data (attached to case)</li><li>Add a table field named <code>Terminated Employee Summary Table</code></li><li>Add a list of objects field named <code>Employee Details</code> with the attributes <code>name, gross pay, address, date of birth</code></li><li>Add a clean prompt to each field. Eg: <code>express date of birth as words</code></li><li>Test this successfully runs in Edit mode</li><li>Compile App</li><li>Test this successfully runs with the same results in App run mode</li></ol><p><a href=""https://aihub-uat.internal.instabase.com/build/019615a3-c237-7193-baed-7192c64b7c49"">https://aihub-uat.internal.instabase.com/build/019615a3-c237-7193-baed-7192c64b7c49</a></p>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
"3595";"56874";"User can use reasoning prompt suggestions";"";"";"No";"";"";"";"";"";"";"<ol><li>In a reasoning field, use the prompt suggestion feature</li><li>Run the suggestion</li><li>Try undoing the suggestion</li></ol>";"";"";"";"ClassifyExtract";"";"";"";"Normal";"Active";"Untested";"";"";"";"";"";"Case (text)";"";""
